Order_ID,Order_Date,Discount,Subtotal,Total,payment,Purchase_Status,Customer_Id,Customer_Name,City,State,Region,Services,P_Sevice,D_Forecast,D_Date,Status,Product,Quantity,Price,Product_Name,Category,Subcategory,lead_time,is_late,Mes
21,2025-04-01 12:47:17,0.0992,3253.14,2973.33,PIX,Em Analise,C00021,João Gabriel Lima,Pico,PI,Nordeste,Same-Day,42.9,2025-05-03 13:18:34,2025-05-03 13:18:34,Atrasado,"Monitor UHD Samsung 32""",2,1626.57,"Monitor UHD Samsung 32""",Eletrônicos,Informática,32,False,2025-04
22,2025-03-12 14:29:34,0.0168,1072.0,1096.89,Credito,Em Analise,C00022,Melissa Carvalho,Recife,PE,Nordeste,Same-Day,42.9,2025-04-28 16:07:18,2025-04-28 16:07:18,Entregue,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0,"Soundbar Samsung com 2.1 canais, Dolby Digital",Eletrônicos,Áudio e Vídeo,47,False,2025-03
23,2025-02-25 05:46:45,0.0588,1898.0,1819.39,Credito,Em Analise,C00023,Sra. Joana Nascimento,Campina Grande,PB,Nordeste,Scheduled,32.99,2025-04-22 20:48:35,2025-04-26 20:48:35,Entregue,Smart TV 32” Philco LED Roku TV,2,949.0,Smart TV 32” Philco LED Roku TV,Eletrônicos,Áudio e Vídeo,60,True,2025-02
24,2025-04-20 21:15:27,0.1111,949.0,886.47,Debito,Cancelado,C00024,Maria Eduarda Costa,Pelotas,RS,Sul,Same-Day,42.9,2025-04-29 07:29:22,2025-05-04 07:29:22,Atrasado,Smart TV 32” Philco LED Roku TV,1,949.0,Smart TV 32” Philco LED Roku TV,Eletrônicos,Áudio e Vídeo,13,True,2025-04
25,2025-03-25 13:17:21,0.0337,103.6,133.1,PIX,Confirmado,C00025,Pedro Henrique Vieira,Teresina,PI,Nordeste,Scheduled,32.99,2025-04-17 15:51:23,2025-04-19 15:51:23,Atrasado,Película para iPhone 14Pro Anti impacto,2,51.8,Película para iPhone 14Pro Anti impacto,Eletrônicos,"Celulares, Tablets e Acessórios",25,True,2025-03
26,2025-05-01 13:57:46,0.0885,6506.28,5963.46,Credito,Cancelado,C00026,Maria Luiza Oliveira,Vitória da Conquista,BA,Nordeste,Scheduled,32.99,2025-05-04 06:59:40,2025-05-05 06:59:40,Trânsito,"Monitor UHD Samsung 32""",4,1626.57,"Monitor UHD Samsung 32""",Eletrônicos,Informática,3,True,2025-05
27,2025-04-21 15:50:53,0.023,3049.99,3022.74,Credito,Processando,C00027,Maria Rocha,Porto Alegre,RS,Sul,Same-Day,42.9,2025-05-02 16:46:46,2025-05-06 16:46:46,Atrasado,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99,"Projetor Smart Epson EpiqVision, FULL HD",Eletrônicos,Áudio e Vídeo,15,True,2025-04
28,2025-04-22 23:40:44,0.0154,3216.0,3209.37,Boleto,Confirmado,C00028,Ana Luiza Monteiro,Parnaíba,PI,Nordeste,Same-Day,42.9,2025-04-26 18:17:08,2025-04-30 18:17:08,Atrasado,"Soundbar Samsung com 2.1 canais, Dolby Digital",3,1072.0,"Soundbar Samsung com 2.1 canais, Dolby Digital",Eletrônicos,Áudio e Vídeo,7,True,2025-04
29,2025-02-19 04:48:16,0.0785,349.8,345.24,Debito,Processando,C00029,Júlia Fernandes,Santa Maria,RS,Sul,Standard,22.9,2025-04-22 12:23:13,2025-04-27 12:23:13,Entregue,Teclado Mecanico Fizz,2,174.9,Teclado Mecanico Fizz,Eletrônicos,Informática,67,True,2025-02
30,2025-02-24 02:23:43,0.1013,1798.0,1658.76,PIX,Cancelado,C00030,Lucas Cunha,Olinda,PE,Nordeste,Same-Day,42.9,2025-04-23 18:00:59,2025-04-24 18:00:59,Trânsito,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,59,True,2025-02
31,2025-04-13 11:48:49,0.017,1798.0,1810.33,Boleto,Cancelado,C00031,Leandro Duarte,Petrolina,PE,Nordeste,Same-Day,42.9,2025-04-18 11:34:53,2025-04-20 11:34:53,Trânsito,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,6,True,2025-04
32,2025-03-06 00:42:28,0.1377,899.0,808.2,PIX,Em Analise,C00032,Srta. Clara Moraes,Itajaí,SC,Sul,Scheduled,32.99,2025-05-07 22:52:17,2025-05-10 22:52:17,Trânsito,Fone de Ouvido Profissional EDIFIER WH950NB,1,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,65,True,2025-03
33,2025-04-06 06:58:45,0.0339,2309.7,2254.3,Credito,Confirmado,C00033,Davi Teixeira,Contagem,MG,Sudeste,Standard,22.9,2025-05-12 17:09:59,2025-05-16 17:09:59,Trânsito,"Soundbar Tomate MTS-2017, Bivolt",3,769.9,"Soundbar Tomate MTS-2017, Bivolt",Eletrônicos,Áudio e Vídeo,40,True,2025-04
34,2025-04-16 08:11:08,0.018,18416.0,18117.5,PIX,Em Analise,C00034,Isabelly Viana,Curitiba,PR,Sul,Scheduled,32.99,2025-05-05 22:07:58,2025-05-07 22:07:58,A Caminho,ACER Notebook Gamer Nitro,4,4604.0,ACER Notebook Gamer Nitro,Eletrônicos,Informática,21,True,2025-04
35,2025-03-15 05:05:42,0.0304,53.7,94.97,Boleto,Processando,C00035,Miguel da Luz,Santana,AP,Norte,Same-Day,42.9,2025-05-12 17:04:07,2025-05-14 17:04:07,Atrasado,Película de Vidro 3D Galaxy A30s,3,17.9,Película de Vidro 3D Galaxy A30s,Eletrônicos,"Celulares, Tablets e Acessórios",60,True,2025-03
36,2025-03-18 12:37:25,0.0254,215.6,243.11,PIX,Confirmado,C00036,João Lucas da Luz,Florianópolis,SC,Sul,Scheduled,32.99,2025-05-09 16:05:35,2025-05-09 16:05:35,Trânsito,Carregador Turbo Tipo-C 50w,4,53.9,Carregador Turbo Tipo-C 50w,Eletrônicos,"Celulares, Tablets e Acessórios",52,False,2025-03
37,2025-03-16 04:22:08,0.0136,53.9,96.07,PIX,Processando,C00037,Thales Farias,Gravataí,RS,Sul,Same-Day,42.9,2025-05-12 21:05:56,2025-05-13 21:05:56,A Caminho,Carregador Turbo Tipo-C 50w,1,53.9,Carregador Turbo Tipo-C 50w,Eletrônicos,"Celulares, Tablets e Acessórios",58,True,2025-03
38,2025-04-19 14:47:47,0.1197,499.64,482.73,Debito,Confirmado,C00038,Srta. Julia Caldeira,Blumenau,SC,Sul,Same-Day,42.9,2025-04-17 17:16:43,2025-04-20 17:16:43,Atrasado,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91,"Fone de Ouvido Sem Fio TWS, PHILIPS",Eletrônicos,"Celulares, Tablets e Acessórios",1,True,2025-04
39,2025-03-22 18:59:08,0.0743,5937.3,5519.06,Boleto,Confirmado,C00039,Maria Vitória da Conceição,Boa Vista,RR,Norte,Standard,22.9,2025-04-29 04:43:18,2025-05-01 04:43:18,A Caminho,Samsung Galaxy A36,3,1979.1,Samsung Galaxy A36,Eletrônicos,"Celulares, Tablets e Acessórios",39,True,2025-03
40,2025-03-03 03:31:44,0.0583,1798.0,1726.17,PIX,Processando,C00040,Bruna Silva,Rio de Janeiro,RJ,Sudeste,Scheduled,32.99,2025-05-12 18:08:14,2025-05-13 18:08:14,Trânsito,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,71,True,2025-03
41,2025-03-27 02:25:36,0.1426,174.9,182.95,Debito,Em Analise,C00041,Ana Rodrigues,Campinas,SP,Sudeste,Scheduled,32.99,2025-05-11 08:58:37,2025-05-11 08:58:37,A Caminho,Teclado Mecanico Fizz,1,174.9,Teclado Mecanico Fizz,Eletrônicos,Informática,45,False,2025-03
42,2025-03-27 23:28:39,0.0557,53.9,93.8,Credito,Confirmado,C00042,Dr. Heitor Mendes,Maringá,PR,Sul,Same-Day,42.9,2025-05-06 22:51:51,2025-05-07 22:51:51,Entregue,Carregador Turbo Tipo-C 50w,1,53.9,Carregador Turbo Tipo-C 50w,Eletrônicos,"Celulares, Tablets e Acessórios",40,True,2025-03
44,2025-02-25 22:16:37,0.0411,899.0,904.95,PIX,Cancelado,C00044,Daniel Novaes,Caxias,MA,Nordeste,Same-Day,42.9,2025-04-19 08:30:24,2025-04-22 08:30:24,A Caminho,Fone de Ouvido Profissional EDIFIER WH950NB,1,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,55,True,2025-02
45,2025-02-23 23:40:48,0.0358,124.91,143.34,Debito,Em Analise,C00045,Miguel Cardoso,Juazeiro,BA,Nordeste,Standard,22.9,2025-04-14 21:15:46,2025-04-18 21:15:46,Atrasado,"Fone de Ouvido Sem Fio TWS, PHILIPS",1,124.91,"Fone de Ouvido Sem Fio TWS, PHILIPS",Eletrônicos,"Celulares, Tablets e Acessórios",53,True,2025-02
46,2025-03-22 02:32:04,0.0748,8226.39,7633.96,PIX,Confirmado,C00046,Henrique Nunes,São Paulo,SP,Sudeste,Standard,22.9,2025-04-14 12:05:50,2025-04-19 12:05:50,Atrasado,Projetor EPSON Powerlite Wide Screen,3,2742.13,Projetor EPSON Powerlite Wide Screen,Eletrônicos,Áudio e Vídeo,28,True,2025-03
47,2025-03-06 02:46:53,0.0437,13812.0,13231.32,Boleto,Confirmado,C00047,Melissa Melo,Itacoatiara,AM,Norte,Standard,22.9,2025-04-29 02:40:16,2025-04-29 02:40:16,A Caminho,ACER Notebook Gamer Nitro,3,4604.0,ACER Notebook Gamer Nitro,Eletrônicos,Informática,53,False,2025-03
48,2025-05-05 18:29:47,0.0774,1798.0,1691.82,Credito,Confirmado,C00048,Helena Souza,Feira de Santana,BA,Nordeste,Scheduled,32.99,2025-05-08 05:04:17,2025-05-11 05:04:17,Entregue,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,5,True,2025-05
49,2025-04-03 11:00:22,0.1004,428.99,418.91,PIX,Processando,C00049,Isis Alves,Tarauacá,AC,Norte,Scheduled,32.99,2025-05-01 14:50:30,2025-05-04 14:50:30,A Caminho,Fone de Ouvido Profissional AKG K92,1,428.99,Fone de Ouvido Profissional AKG K92,Eletrônicos,Áudio e Vídeo,31,True,2025-04
51,2025-03-24 23:12:13,0.1065,174.9,189.26,PIX,Processando,C00051,Dr. Erick da Rocha,Timon,MA,Nordeste,Scheduled,32.99,2025-05-01 13:04:52,2025-05-03 13:04:52,A Caminho,Teclado Mecanico Fizz,1,174.9,Teclado Mecanico Fizz,Eletrônicos,Informática,39,True,2025-03
54,2025-04-24 22:15:30,0.0814,13812.0,12730.6,PIX,Cancelado,C00054,Rodrigo Viana,Caruaru,PE,Nordeste,Same-Day,42.9,2025-04-26 08:41:33,2025-04-28 08:41:33,Trânsito,ACER Notebook Gamer Nitro,3,4604.0,ACER Notebook Gamer Nitro,Eletrônicos,Informática,3,True,2025-04
55,2025-03-06 00:55:53,0.0298,1715.96,1687.72,PIX,Cancelado,C00055,Caroline da Mota,Ribeirão Preto,SP,Sudeste,Standard,22.9,2025-05-10 00:34:08,2025-05-14 00:34:08,Atrasado,Fone de Ouvido Profissional AKG K92,4,428.99,Fone de Ouvido Profissional AKG K92,Eletrônicos,Áudio e Vídeo,68,True,2025-03
56,2025-02-25 06:04:11,0.0127,2158.0,2163.58,Credito,Confirmado,C00056,Dra. Kamilly Cardoso,Londrina,PR,Sul,Scheduled,32.99,2025-05-10 17:13:03,2025-05-14 17:13:03,Atrasado,"Smart TV LED 32""Samsung LED Tizen TV",2,1079.0,"Smart TV LED 32""Samsung LED Tizen TV",Eletrônicos,Áudio e Vídeo,78,True,2025-02
57,2025-04-10 13:44:17,0.0791,5397.03,5003.11,PIX,Em Analise,C00057,Enrico Barros,Juazeiro do Norte,CE,Nordeste,Scheduled,32.99,2025-05-03 20:27:26,2025-05-05 20:27:26,Atrasado,Samsung Galaxy Tab S6 Lite,3,1799.01,Samsung Galaxy Tab S6 Lite,Eletrônicos,"Celulares, Tablets e Acessórios",25,True,2025-04
59,2025-03-08 06:13:02,0.1134,3596.0,3221.2,Credito,Confirmado,C00059,Guilherme Cavalcanti,João Pessoa,PB,Nordeste,Scheduled,32.99,2025-04-20 19:00:53,2025-04-25 19:00:53,A Caminho,Fone de Ouvido Profissional EDIFIER WH950NB,4,899.0,Fone de Ouvido Profissional EDIFIER WH950NB,Eletrônicos,Áudio e Vídeo,48,True,2025-03
60,2025-02-17 03:46:36,0.0471,259.72,290.39,Boleto,Cancelado,C00060,Felipe Pereira,Boa Vista,RR,Norte,Same-Day,42.9,2025-05-10 04:07:08,2025-05-15 04:07:08,A Caminho,Fone de ouvido Sem Fio QCY T27,2,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",87,True,2025-02
61,2025-02-26 21:58:54,0.1468,499.64,469.19,Debito,Processando,C00061,Milena Cardoso,Fortaleza,CE,Nordeste,Same-Day,42.9,2025-05-02 16:44:30,2025-05-04 16:44:30,A Caminho,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91,"Fone de Ouvido Sem Fio TWS, PHILIPS",Eletrônicos,"Celulares, Tablets e Acessórios",66,True,2025-02
62,2025-04-13 00:47:22,0.1138,4316.0,3857.83,PIX,Em Analise,C00062,Emilly Fogaça,Linhares,ES,Sudeste,Scheduled,32.99,2025-05-03 08:45:01,2025-05-07 08:45:01,Trânsito,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0,"Smart TV LED 32""Samsung LED Tizen TV",Eletrônicos,Áudio e Vídeo,24,True,2025-04
63,2025-04-19 16:41:04,0.0087,663.96,701.08,PIX,Processando,C00063,Alexandre Pereira,Caruaru,PE,Nordeste,Same-Day,42.9,2025-04-30 00:15:53,2025-04-30 00:15:53,Trânsito,Mouse Redragon Wireless,4,165.99,Mouse Redragon Wireless,Eletrônicos,Informática,10,False,2025-04
64,2025-04-01 08:19:33,0.0763,2309.7,2156.37,Boleto,Em Analise,C00064,Davi Alves,Bacabal,MA,Nordeste,Standard,22.9,2025-05-14 03:00:06,2025-05-17 03:00:06,Trânsito,"Soundbar Tomate MTS-2017, Bivolt",3,769.9,"Soundbar Tomate MTS-2017, Bivolt",Eletrônicos,Áudio e Vídeo,45,True,2025-04
65,2025-03-11 05:24:52,0.0844,129.86,161.8,Boleto,Em Analise,C00065,Sofia Sales,Ponta Grossa,PR,Sul,Same-Day,42.9,2025-05-07 20:02:45,2025-05-07 20:02:45,Entregue,Fone de ouvido Sem Fio QCY T27,1,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",57,False,2025-03
66,2025-03-24 17:40:20,0.1043,35.8,65.06,Boleto,Cancelado,C00066,Ana Julia Freitas,Curitiba,PR,Sul,Scheduled,32.99,2025-04-24 03:46:36,2025-04-25 03:46:36,Atrasado,Película de Vidro 3D Galaxy A30s,2,17.9,Película de Vidro 3D Galaxy A30s,Eletrônicos,"Celulares, Tablets e Acessórios",31,True,2025-03
67,2025-02-25 21:44:12,0.0747,49.9,79.16,Credito,Cancelado,C00067,Ian Mendes,Mucajaí,RR,Norte,Scheduled,32.99,2025-05-14 21:06:29,2025-05-15 21:06:29,Trânsito,Carregador Turbo USB-C 30W,1,49.9,Carregador Turbo USB-C 30W,Eletrônicos,"Celulares, Tablets e Acessórios",78,True,2025-02
68,2025-03-10 13:56:15,0.0725,4316.0,4025.99,Boleto,Processando,C00068,Marina Porto,Santo André,SP,Sudeste,Standard,22.9,2025-05-08 06:49:58,2025-05-12 06:49:58,Trânsito,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0,"Smart TV LED 32""Samsung LED Tizen TV",Eletrônicos,Áudio e Vídeo,62,True,2025-03
71,2025-02-18 19:28:09,0.1419,1079.0,968.79,Debito,Processando,C00071,Emilly Barbosa,Vila Velha,ES,Sudeste,Same-Day,42.9,2025-04-21 18:17:02,2025-04-21 18:17:02,Trânsito,"Smart TV LED 32""Samsung LED Tizen TV",1,1079.0,"Smart TV LED 32""Samsung LED Tizen TV",Eletrônicos,Áudio e Vídeo,61,False,2025-02
73,2025-04-16 08:36:55,0.0095,3049.99,3063.92,PIX,Processando,C00073,Raul da Luz,Ponta Grossa,PR,Sul,Same-Day,42.9,2025-04-21 18:07:41,2025-04-26 18:07:41,A Caminho,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99,"Projetor Smart Epson EpiqVision, FULL HD",Eletrônicos,Áudio e Vídeo,10,True,2025-04
75,2025-04-14 03:26:44,0.1286,6099.98,5348.51,PIX,Processando,C00075,Cauã da Rosa,Sobral,CE,Nordeste,Scheduled,32.99,2025-04-21 14:28:41,2025-04-23 14:28:41,Entregue,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99,"Projetor Smart Epson EpiqVision, FULL HD",Eletrônicos,Áudio e Vídeo,9,True,2025-04
76,2025-03-18 15:51:41,0.088,519.44,516.63,Boleto,Em Analise,C00076,Luiz Gustavo Moraes,Brasiléia,AC,Norte,Same-Day,42.9,2025-05-15 22:33:05,2025-05-15 22:33:05,Entregue,Fone de ouvido Sem Fio QCY T27,4,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",58,False,2025-03
77,2025-04-16 05:35:45,0.1168,857.98,790.76,PIX,Processando,C00077,Ana Laura Oliveira,Cruzeiro do Sul,AC,Norte,Scheduled,32.99,2025-04-21 17:15:07,2025-04-24 17:15:07,Atrasado,Fone de Ouvido Profissional AKG K92,2,428.99,Fone de Ouvido Profissional AKG K92,Eletrônicos,Áudio e Vídeo,8,True,2025-04
78,2025-04-20 09:40:32,0.1213,1347.0,1216.6,PIX,Em Analise,C00078,Larissa Novaes,Caicó,RN,Nordeste,Scheduled,32.99,2025-05-05 16:00:59,2025-05-06 16:00:59,Trânsito,SSD Crucial 1TB NVMe M.2,3,449.0,SSD Crucial 1TB NVMe M.2,Eletrônicos,Informática,16,True,2025-04
79,2025-04-02 07:18:28,0.1235,8226.39,7243.42,PIX,Processando,C00079,Sr. Ian Rezende,Ponta Grossa,PR,Sul,Scheduled,32.99,2025-04-28 08:23:50,2025-04-28 08:23:50,Entregue,Projetor EPSON Powerlite Wide Screen,3,2742.13,Projetor EPSON Powerlite Wide Screen,Eletrônicos,Áudio e Vídeo,26,False,2025-04
80,2025-03-05 18:08:56,0.0826,207.2,223.08,Boleto,Processando,C00080,Kevin Silva,Mazagão,AP,Norte,Scheduled,32.99,2025-04-21 05:18:02,2025-04-23 05:18:02,Trânsito,Película para iPhone 14Pro Anti impacto,4,51.8,Película para iPhone 14Pro Anti impacto,Eletrônicos,"Celulares, Tablets e Acessórios",48,True,2025-03
81,2025-05-01 22:57:48,0.0266,519.44,538.61,Debito,Em Analise,C00081,Benjamin Mendes,Santarém,PA,Norte,Scheduled,32.99,2025-05-07 15:49:00,2025-05-09 15:49:00,A Caminho,Fone de ouvido Sem Fio QCY T27,4,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",7,True,2025-05
82,2025-03-30 03:05:25,0.0222,1799.01,1792.06,Debito,Confirmado,C00082,Julia Ribeiro,Santa Maria,RS,Sul,Scheduled,32.99,2025-05-04 04:10:01,2025-05-04 04:10:01,Entregue,Samsung Galaxy Tab S6 Lite,1,1799.01,Samsung Galaxy Tab S6 Lite,Eletrônicos,"Celulares, Tablets e Acessórios",35,False,2025-03
83,2025-04-27 16:58:19,0.0861,519.44,497.62,Credito,Confirmado,C00083,Stephany da Rocha,Londrina,PR,Sul,Standard,22.9,2025-04-30 15:26:16,2025-05-04 15:26:16,Entregue,Fone de ouvido Sem Fio QCY T27,4,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",6,True,2025-04
85,2025-04-06 23:27:00,0.0837,389.58,379.87,Boleto,Em Analise,C00085,Dr. Arthur da Cunha,Caracaraí,RR,Norte,Standard,22.9,2025-05-06 03:18:44,2025-05-07 03:18:44,Entregue,Fone de ouvido Sem Fio QCY T27,3,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",30,True,2025-04
86,2025-02-27 07:11:13,0.0748,374.73,369.6,PIX,Em Analise,C00086,Sophie Duarte,Brasiléia,AC,Norte,Standard,22.9,2025-05-06 04:04:13,2025-05-10 04:04:13,Trânsito,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91,"Fone de Ouvido Sem Fio TWS, PHILIPS",Eletrônicos,"Celulares, Tablets e Acessórios",71,True,2025-02
87,2025-03-06 02:31:30,0.0903,51.8,80.11,Debito,Processando,C00087,Sr. Anthony da Paz,Chapecó,SC,Sul,Scheduled,32.99,2025-05-11 16:34:58,2025-05-16 16:34:58,Atrasado,Película para iPhone 14Pro Anti impacto,1,51.8,Película para iPhone 14Pro Anti impacto,Eletrônicos,"Celulares, Tablets e Acessórios",71,True,2025-03
88,2025-03-03 20:00:09,0.0048,519.44,539.85,Boleto,Confirmado,C00088,Lucas da Costa,Juazeiro,BA,Nordeste,Standard,22.9,2025-05-14 03:19:23,2025-05-14 03:19:23,Trânsito,Fone de ouvido Sem Fio QCY T27,4,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",71,False,2025-03
